,simplified,tags
3637,趁着,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
3800,大笔,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
3938,定为,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
4062,飞往,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
4223,公益性,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
4474,怀着,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
5003,离谱儿,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
5259,难以想象,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
5849,说起来,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
5916,贪玩儿,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
6842,致力于,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
6930,着眼于,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
6996,做证,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
11574,马大为,"['STATUS.Multiple', 'NPCR', 'NPCR.1', 'NPCR.1.04', 'NPCR.1.07']"
11577,王小云,"['STATUS.Multiple', 'NPCR', 'NPCR.1', 'NPCR.1.05', 'NPCR.1.08']"
11581,宋华,"['STATUS.Multiple', 'NPCR', 'NPCR.1', 'NPCR.1.05', 'NPCR.1.09']"
11887,嫦娥奔月,"['STATUS.Multiple', 'NPCR', 'NPCR.3', 'NPCR.3.28', 'NPCR.4', 'NPCR.4.50']"
11968,…分之…,"['HSK-v2021', 'HSK3.4', 'STATUS.Multiple', 'NPCR', 'NPCR.3', 'NPCR.3.35']"
