,simplified,tags
682,李玉兰,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
686,上联,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
687,下联,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
690,飞虎旗,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
691,中榜,"['NPCR', 'NPCR.3', 'NPCR.3.38', 'STATUS.Unique']"
693,炒鸡丁,"['NPCR', 'NPCR.4', 'NPCR.4.39', 'STATUS.Unique']"
694,开饭馆,"['NPCR', 'NPCR.4', 'NPCR.4.39', 'STATUS.Unique']"
706,草房,"['NPCR', 'NPCR.4', 'NPCR.4.40', 'STATUS.Unique']"
707,生产队长,"['NPCR', 'NPCR.4', 'NPCR.4.40', 'STATUS.Unique']"
712,歌王,"['NPCR', 'NPCR.4', 'NPCR.4.41', 'STATUS.Unique']"
713,王洛宾,"['NPCR', 'NPCR.4', 'NPCR.4.41', 'STATUS.Unique']"
720,红烧鱼,"['NPCR', 'NPCR.4', 'NPCR.4.42', 'STATUS.Unique']"
729,缷,"['NPCR', 'NPCR.4', 'NPCR.4.42', 'STATUS.Unique']"
732,杏儿,"['NPCR', 'NPCR.4', 'NPCR.4.42', 'STATUS.Unique']"
744,咸亨酒店,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
747,铜把手,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
748,…似的,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
753,拉车,"['NPCR', 'NPCR.4', 'NPCR.4.43', 'STATUS.Unique']"
767,秀水街,"['NPCR', 'NPCR.4', 'NPCR.4.44', 'STATUS.Unique']"
768,市场开发部,"['NPCR', 'NPCR.4', 'NPCR.4.45', 'STATUS.Unique']"
771,顺致,"['NPCR', 'NPCR.4', 'NPCR.4.45', 'STATUS.Unique']"
772,ＡＢＣ商学院,"['NPCR', 'NPCR.4', 'NPCR.4.45', 'STATUS.Unique']"
775,头班车,"['NPCR', 'NPCR.4', 'NPCR.4.46', 'STATUS.Unique']"
782,旅游鞋,"['NPCR', 'NPCR.4', 'NPCR.4.47', 'STATUS.Unique']"
784,起名字,"['NPCR', 'NPCR.4', 'NPCR.4.47', 'STATUS.Unique']"
786,克林,"['NPCR', 'NPCR.4', 'NPCR.4.47', 'STATUS.Unique']"
788,雪绒花,"['NPCR', 'NPCR.4', 'NPCR.4.47', 'STATUS.Unique']"
791,丁克家庭,"['NPCR', 'NPCR.4', 'NPCR.4.48', 'STATUS.Unique']"
794,太爷爷,"['NPCR', 'NPCR.4', 'NPCR.4.48', 'STATUS.Unique']"
800,小叶子,"['NPCR', 'NPCR.4', 'NPCR.4.48', 'STATUS.Unique']"
801,头痛医脚,"['NPCR', 'NPCR.4', 'NPCR.4.49', 'STATUS.Unique']"
807,听诊,"['NPCR', 'NPCR.4', 'NPCR.4.49', 'STATUS.Unique']"
809,脚指头,"['NPCR', 'NPCR.4', 'NPCR.4.49', 'STATUS.Unique']"
810,开药方,"['NPCR', 'NPCR.4', 'NPCR.4.49', 'STATUS.Unique']"
833,玩游戏,"['NPCR', 'NPCR.4', 'NPCR.4.50', 'STATUS.Unique']"
854,服装设计,"['NPCR', 'NPCR.5', 'NPCR.5.52', 'STATUS.Unique']"
863,李志强,"['NPCR', 'NPCR.5', 'NPCR.5.52', 'STATUS.Unique']"
864,汤米,"['NPCR', 'NPCR.5', 'NPCR.5.52', 'STATUS.Unique']"
867,电熨斗,"['NPCR', 'NPCR.5', 'NPCR.5.52', 'STATUS.Unique']"
870,天将,"['NPCR', 'NPCR.5', 'NPCR.5.52', 'STATUS.Unique']"
884,芋头扣肉,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
890,细菜,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
897,臭豆腐干,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
898,大人物,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
912,火宫殿,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
916,砂罐,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
922,我的妈呀,"['NPCR', 'NPCR.5', 'NPCR.5.53', 'STATUS.Unique']"
927,新装,"['NPCR', 'NPCR.5', 'NPCR.5.54', 'STATUS.Unique']"
929,修(建),"['NPCR', 'NPCR.5', 'NPCR.5.54', 'STATUS.Unique']"
937,山南海北,"['NPCR', 'NPCR.5', 'NPCR.5.54', 'STATUS.Unique']"
938,中轴路,"['NPCR', 'NPCR.5', 'NPCR.5.54', 'STATUS.Unique']"
956,玩命,"['NPCR', 'NPCR.5', 'NPCR.5.54', 'STATUS.Unique']"
973,工程院,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
974,(农)作物,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
976,穗子,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
982,亩产,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
984,袁隆平,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
986,西南农业学院,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
987,安江农校,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
989,负负得正,"['NPCR', 'NPCR.5', 'NPCR.5.56', 'STATUS.Unique']"
999,少年不识愁滋味,"['NPCR', 'NPCR.5', 'NPCR.5.57', 'STATUS.Unique']"
1001,大丈夫主义,"['NPCR', 'NPCR.5', 'NPCR.5.57', 'STATUS.Unique']"
1003,约稿,"['NPCR', 'NPCR.5', 'NPCR.5.57', 'STATUS.Unique']"
1011,初五,"['NPCR', 'NPCR.5', 'NPCR.5.57', 'STATUS.Unique']"
1014,大蒜末,"['NPCR', 'NPCR.5', 'NPCR.5.57', 'STATUS.Unique']"
1043,讲价钱,"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1044,子毛大衣,"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1059,帽(子),"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1061,青(色),"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1062,棉袍,"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1077,触他之怒,"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1083,大去,"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1084,空巢家庭,"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1089,炒(子),"['NPCR', 'NPCR.5', 'NPCR.5.58', 'STATUS.Unique']"
1096,坑声,"['NPCR', 'NPCR.5', 'NPCR.5.59', 'STATUS.Unique']"
1111,秋月,"['NPCR', 'NPCR.5', 'NPCR.5.59', 'STATUS.Unique']"
1112,家英,"['NPCR', 'NPCR.5', 'NPCR.5.59', 'STATUS.Unique']"
1113,书童,"['NPCR', 'NPCR.5', 'NPCR.5.59', 'STATUS.Unique']"
1123,珍珠鸟,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1124,竹笼子,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1125,怕人,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1127,盖(住),"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1128,射入,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1130,影(子),"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1132,生意葱茏,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1138,灰蓝,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1150,银灰,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1161,千岁,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1162,美猴王,"['NPCR', 'NPCR.5', 'NPCR.5.60', 'STATUS.Unique']"
1171,豆芽儿,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1175,登台,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1178,绝活儿,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1180,语速,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1183,初学,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1187,情景交融,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1191,口误,"['NPCR', 'NPCR.6', 'NPCR.6.61', 'STATUS.Unique']"
1205,索尼公司,"['NPCR', 'NPCR.6', 'NPCR.6.62', 'STATUS.Unique']"
1211,过路,"['NPCR', 'NPCR.6', 'NPCR.6.63', 'STATUS.Unique']"
1234,解气,"['NPCR', 'NPCR.6', 'NPCR.6.63', 'STATUS.Unique']"
1235,誉为,"['NPCR', 'NPCR.6', 'NPCR.6.63', 'STATUS.Unique']"
1239,原产地域,"['NPCR', 'NPCR.6', 'NPCR.6.63', 'STATUS.Unique']"
1240,车龄,"['NPCR', 'NPCR.6', 'NPCR.6.63', 'STATUS.Unique']"
1242,车闸,"['NPCR', 'NPCR.6', 'NPCR.6.63', 'STATUS.Unique']"
1253,底里,"['NPCR', 'NPCR.6', 'NPCR.6.64', 'STATUS.Unique']"
1265,描红纸,"['NPCR', 'NPCR.6', 'NPCR.6.64', 'STATUS.Unique']"
1274,君子固穷,"['NPCR', 'NPCR.6', 'NPCR.6.64', 'STATUS.Unique']"
1299,草头,"['NPCR', 'NPCR.6', 'NPCR.6.64', 'STATUS.Unique']"
1303,多乎哉,"['NPCR', 'NPCR.6', 'NPCR.6.64', 'STATUS.Unique']"
